row_ID,study_ID,title,year,journal,volume,issue,pages,authors,taxo_group,species_name,population,study_environment,age,personality_trait,study_type,male_n,female_n,male_mean,male_SE,female_mean,female_SE,error_type,m_SE_to_SD,f_SE_to_SD,directionality,comp,depend,data_type,data_location,score,proportion,flip_sign,data_quality
69,P013,"Repeatability and reliability of exploratory behavior in proactive and reactive zebrafish, Danio rerio",2018,Scientific Reports,8,1,,"Baker, M.R.; Goodman, A.C.; Santo, J.B.; Wong, R.Y.",fish,Danio rerio,lab,lab,adult,exploration,experimental,12,16,271.693,24.794,292.394,4.588,SE,85.889,18.352,1,26,19,time in centre,Supplementary,,,,
70,P013,"Repeatability and reliability of exploratory behavior in proactive and reactive zebrafish, Danio rerio",2018,Scientific Reports,8,1,,"Baker, M.R.; Goodman, A.C.; Santo, J.B.; Wong, R.Y.",fish,Danio rerio,lab,lab,adult,exploration,experimental,12,16,291.617,6.087,296.402,0.88,SE,21.086,3.52,1,26,19,time in centre,Supplementary,,,,
71,P013,"Repeatability and reliability of exploratory behavior in proactive and reactive zebrafish, Danio rerio",2018,Scientific Reports,8,1,,"Baker, M.R.; Goodman, A.C.; Santo, J.B.; Wong, R.Y.",fish,Danio rerio,lab,lab,adult,exploration,experimental,12,16,197.356,37.781,282.398,14.996,SE,130.877,59.984,1,26,19,time in centre,Supplementary,,,,
72,P013,"Repeatability and reliability of exploratory behavior in proactive and reactive zebrafish, Danio rerio",2018,Scientific Reports,8,1,,"Baker, M.R.; Goodman, A.C.; Santo, J.B.; Wong, R.Y.",fish,Danio rerio,lab,lab,adult,exploration,experimental,12,16,111.506,39.258,185.033,32.209,SE,135.994,128.836,1,26,19,time in centre,Supplementary,,,,
73,P013,"Repeatability and reliability of exploratory behavior in proactive and reactive zebrafish, Danio rerio",2018,Scientific Reports,8,1,,"Baker, M.R.; Goodman, A.C.; Santo, J.B.; Wong, R.Y.",fish,Danio rerio,lab,lab,adult,exploration,experimental,12,16,203.188,36.745,256.969,22.672,SE,127.288,90.688,1,26,19,time in centre,Supplementary,,,,
74,P013,"Repeatability and reliability of exploratory behavior in proactive and reactive zebrafish, Danio rerio",2018,Scientific Reports,8,1,,"Baker, M.R.; Goodman, A.C.; Santo, J.B.; Wong, R.Y.",fish,Danio rerio,lab,lab,adult,exploration,experimental,13,14,1.996,0.623,2.047,0.764,SE,2.246,2.859,,27,20,swim speed,Supplementary,,,,
75,P013,"Repeatability and reliability of exploratory behavior in proactive and reactive zebrafish, Danio rerio",2018,Scientific Reports,8,1,,"Baker, M.R.; Goodman, A.C.; Santo, J.B.; Wong, R.Y.",fish,Danio rerio,lab,lab,adult,exploration,experimental,13,14,2.026,0.622,1.651,0.684,SE,2.243,2.559,,27,20,swim speed,Supplementary,,,,
76,P013,"Repeatability and reliability of exploratory behavior in proactive and reactive zebrafish, Danio rerio",2018,Scientific Reports,8,1,,"Baker, M.R.; Goodman, A.C.; Santo, J.B.; Wong, R.Y.",fish,Danio rerio,lab,lab,adult,exploration,experimental,13,14,2.129,0.617,2.729,0.749,SE,2.225,2.803,,27,20,swim speed,Supplementary,,,,
77,P013,"Repeatability and reliability of exploratory behavior in proactive and reactive zebrafish, Danio rerio",2018,Scientific Reports,8,1,,"Baker, M.R.; Goodman, A.C.; Santo, J.B.; Wong, R.Y.",fish,Danio rerio,lab,lab,adult,exploration,experimental,13,14,11.148,8.983,2.06,0.618,SE,32.389,2.312,,27,20,swim speed,Supplementary,,,,
78,P013,"Repeatability and reliability of exploratory behavior in proactive and reactive zebrafish, Danio rerio",2018,Scientific Reports,8,1,,"Baker, M.R.; Goodman, A.C.; Santo, J.B.; Wong, R.Y.",fish,Danio rerio,lab,lab,adult,exploration,experimental,13,14,2.272,0.834,4.574,2.436,SE,3.007,9.115,,27,20,swim speed,Supplementary,,,,
